ObjectName,R,G,B
StaticMeshActor_UAID_E08F4CF5208A9C7502_1326496516,223,95,191
StaticMeshActor_UAID_E08F4CF5208AA17502_1811502455,223,95,95
StaticMeshActor_UAID_E08F4CF5208A9D7502_1232133737,223,95,159
StaticMeshActor_UAID_E08F4CF5208AA17502_2102687506,223,159,255
StaticMeshActor_UAID_E08F4CF5208AA17502_2102667499,223,159,127
StaticMeshActor_UAID_E08F4CF5208AA07502_1083931330,223,159,191
StaticMeshActor_UAID_E08F4CF5208AA17502_1811413423,223,159,95
StaticMeshActor_UAID_E08F4CF5208AA17502_1811505456,223,159,159
StaticMeshActor_UAID_E08F4CF5208ABE7502_1435526499,223,255,223
StaticMeshActor_UAID_E08F4CF5208ABE7502_1435486487,223,127,223
StaticMeshActor_UAID_E08F4CF5208AC07502_1757274857,223,191,223
StaticMeshActor_UAID_E08F4CF5208AC07502_1946612864,223,95,223
StaticMeshActor_UAID_D843AED10BEFF47302_2093937893,223,159,223
StaticMeshActor_UAID_E08F4CF5208A9C7502_1992195544,223,223,255
StaticMeshActor_UAID_E08F4CF5208A397402_2033584034,223,223,127
StaticMeshActor_UAID_E08F4CF5208AC07502_1383445852,223,223,191
StaticMeshActor_UAID_E08F4CF5208AC07502_1839222859,223,223,95
BP_SplineHuman_Type12_C_UAID_E08F4CF5208A487A02_1781865018,223,223,159
StaticMeshActor_UAID_E08F4CF5208AA17502_2102655495,223,223,223
StaticMeshActor_UAID_E08F4CF5208AA07502_1084018362,255,255,79
StaticMeshActor_UAID_E08F4CF5208AA17502_1811516460,255,127,79
StaticMeshActor_UAID_E08F4CF5208AA17502_2102578469,255,191,79
StaticMeshActor_UAID_D843AED10BEFFC7302_1230366287,255,95,79
StaticMeshActor_UAID_E08F4CF5208AA17502_1811366407,255,159,79
StaticMeshActor_UAID_E08F4CF5208AA17502_1811477446,255,223,79
StaticMeshActor_UAID_E08F4CF5208AA07502_1084002356,127,255,79
StaticMeshActor_UAID_E08F4CF5208AA17502_1811441433,127,127,79
StaticMeshActor_UAID_E08F4CF5208AA07502_1083949337,127,191,79
StaticMeshActor_UAID_E08F4CF5208AA07502_1083933331,127,95,79
StaticMeshActor_UAID_E08F4CF5208AA17502_2102617482,127,159,79
StaticMeshActor_UAID_E08F4CF5208AA17502_2102587472,127,223,79
StaticMeshActor_UAID_E08F4CF5208A9C7502_2117913550,191,255,79
StaticMeshActor_UAID_E08F4CF5208AA17502_1811458439,191,127,79
StaticMeshActor_UAID_E08F4CF5208AA17502_2102664498,191,191,79
BP_SplineHuman_C_UAID_E08F4CF5208ADB7502_2044960591,191,95,79
StaticMeshActor_UAID_E08F4CF5208AA17502_1811472444,191,159,79
StaticMeshActor_UAID_E08F4CF5208AC07502_1258592840,191,223,79
StaticMeshActor_UAID_E08F4CF5208AA17502_2102620483,95,255,79
StaticMeshActor_UAID_E08F4CF5208AA17502_1811449436,95,127,79
BP_SplineHuman_Mannequin2_C_UAID_E08F4CF5208A427A02_1146249951,95,191,79
StaticMeshActor_UAID_E08F4CF5208AC07502_1915474862,95,95,79
StaticMeshActor_UAID_E08F4CF5208AA17502_1811444434,95,159,79
StaticMeshActor_UAID_E08F4CF5208A9C7502_1948163540,95,223,79
StaticMeshActor_UAID_D843AED10BEFF47302_2114387894,159,255,79
StaticMeshActor_UAID_E08F4CF5208AA17502_1811427428,159,127,79
StaticMeshActor_UAID_E08F4CF5208A9D7502_1393442750,159,191,79
StaticMeshActor_UAID_E08F4CF5208A9C7502_1391045524,159,95,79
StaticMeshActor_UAID_E08F4CF5208A377402_1184626677,159,159,79
StaticMeshActor_UAID_E08F4CF5208A4A7402_1676993016,159,223,79
StaticMeshActor_UAID_E08F4CF5208AA17502_2102561463,223,255,79
StaticMeshActor_UAID_D843AED10BEFF57302_1113706072,223,127,79
StaticMeshActor_UAID_E08F4CF5208ABE7502_1435528500,223,191,79
StaticMeshActor_UAID_E08F4CF5208AA07502_1083968344,223,95,79
StaticMeshActor_UAID_E08F4CF5208AA07502_1083996354,223,159,79
StaticMeshActor_UAID_E08F4CF5208A9D7502_1204281735,223,223,79
StaticMeshActor_UAID_E08F4CF5208AA17502_1811377410,255,79,255
BP_SplineHuman_Girl1_C_UAID_E08F4CF5208A3F7A02_1511822415,255,79,127
StaticMeshActor_UAID_E08F4CF5208AA07502_1083891318,255,79,191
StaticMeshActor_UAID_E08F4CF5208AA17502_2102672501,255,79,95
StaticMeshActor_UAID_E08F4CF5208AA17502_1811433430,255,79,159
StaticMeshActor_UAID_E08F4CF5208A9D7502_1295828743,255,79,223
StaticMeshActor_UAID_E08F4CF5208A9C7502_1830268534,127,79,255
StaticMeshActor_UAID_E08F4CF5208A9C7502_1391044523,127,79,127
StaticMeshActor_UAID_E08F4CF5208ABE7502_1435515495,127,79,191
StaticMeshActor_UAID_E08F4CF5208AA07502_1083898320,127,79,95
StaticMeshActor_UAID_E08F4CF5208AA17502_2102684505,127,79,159
StaticMeshActor_UAID_E08F4CF5208AA17502_1811419425,127,79,223
StaticMeshActor_UAID_E08F4CF5208AC07502_1773050858,191,79,255
